"filename", "language", "JavaScript", "YAML", "JSON", "comment", "blank", "total"
"/Users/michaelvolakis/Documents/UNI/6th Semester/Web Applications Technologies.nosync/WorkNet/server/package-lock.json", "JSON", 0, 0, 3535, 0, 1, 3536
"/Users/michaelvolakis/Documents/UNI/6th Semester/Web Applications Technologies.nosync/WorkNet/server/package.json", "JSON", 0, 0, 33, 0, 1, 34
"/Users/michaelvolakis/Documents/UNI/6th Semester/Web Applications Technologies.nosync/WorkNet/server/reference/WorkNet-API.yaml", "YAML", 0, 611, 0, 0, 1, 612
"/Users/michaelvolakis/Documents/UNI/6th Semester/Web Applications Technologies.nosync/WorkNet/server/src/config/db.js", "JavaScript", 21, 0, 0, 0, 4, 25
"/Users/michaelvolakis/Documents/UNI/6th Semester/Web Applications Technologies.nosync/WorkNet/server/src/middleware/auth.js", "JavaScript", 31, 0, 0, 0, 3, 34
"/Users/michaelvolakis/Documents/UNI/6th Semester/Web Applications Technologies.nosync/WorkNet/server/src/middleware/jobValidation.js", "JavaScript", 27, 0, 0, 2, 6, 35
"/Users/michaelvolakis/Documents/UNI/6th Semester/Web Applications Technologies.nosync/WorkNet/server/src/middleware/userValidation.js", "JavaScript", 26, 0, 0, 2, 4, 32
"/Users/michaelvolakis/Documents/UNI/6th Semester/Web Applications Technologies.nosync/WorkNet/server/src/models/Chat.js", "JavaScript", 23, 0, 0, 0, 4, 27
"/Users/michaelvolakis/Documents/UNI/6th Semester/Web Applications Technologies.nosync/WorkNet/server/src/models/Comment.js", "JavaScript", 25, 0, 0, 0, 3, 28
"/Users/michaelvolakis/Documents/UNI/6th Semester/Web Applications Technologies.nosync/WorkNet/server/src/models/ConnectRequest.js", "JavaScript", 20, 0, 0, 0, 3, 23
"/Users/michaelvolakis/Documents/UNI/6th Semester/Web Applications Technologies.nosync/WorkNet/server/src/models/Job.js", "JavaScript", 33, 0, 0, 0, 3, 36
"/Users/michaelvolakis/Documents/UNI/6th Semester/Web Applications Technologies.nosync/WorkNet/server/src/models/Like.js", "JavaScript", 17, 0, 0, 0, 3, 20
"/Users/michaelvolakis/Documents/UNI/6th Semester/Web Applications Technologies.nosync/WorkNet/server/src/models/Message.js", "JavaScript", 23, 0, 0, 0, 3, 26
"/Users/michaelvolakis/Documents/UNI/6th Semester/Web Applications Technologies.nosync/WorkNet/server/src/models/Post.js", "JavaScript", 25, 0, 0, 0, 4, 29
"/Users/michaelvolakis/Documents/UNI/6th Semester/Web Applications Technologies.nosync/WorkNet/server/src/models/User.js", "JavaScript", 131, 0, 0, 2, 19, 152
"/Users/michaelvolakis/Documents/UNI/6th Semester/Web Applications Technologies.nosync/WorkNet/server/src/routers/chat.js", "JavaScript", 178, 0, 0, 41, 28, 247
"/Users/michaelvolakis/Documents/UNI/6th Semester/Web Applications Technologies.nosync/WorkNet/server/src/routers/jobs.js", "JavaScript", 78, 0, 0, 26, 16, 120
"/Users/michaelvolakis/Documents/UNI/6th Semester/Web Applications Technologies.nosync/WorkNet/server/src/routers/post.js", "JavaScript", 415, 0, 0, 75, 35, 525
"/Users/michaelvolakis/Documents/UNI/6th Semester/Web Applications Technologies.nosync/WorkNet/server/src/routers/user.js", "JavaScript", 389, 0, 0, 93, 50, 532
"/Users/michaelvolakis/Documents/UNI/6th Semester/Web Applications Technologies.nosync/WorkNet/server/src/server.js", "JavaScript", 22, 0, 0, 4, 5, 31
"Total", "-", 1484, 611, 3568, 245, 196, 6104
